Country,Museum Authority Link,SL1: External Site,SL2: Wiki,SL3: Archive
Algeria*,http://www.algeria.com/museums/,,https://en.wikipedia.org/wiki/List_of_museums_in_Algeria,https://web.archive.org/web/20110824085928/http://www.africom.museum:80/museums/algeria2.html
Angola,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Angola,https://web.archive.org/web/20110826001830/http://www.africom.museum:80/museums/angola2.html
Benin,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Benin,https://web.archive.org/web/20110824085732/http://www.africom.museum:80/museums/benin2.html
Botswana,http://www.gov.bw/en/Visitors/Topics/Tourists-Attractions/Tourist-Attractions/,http://www.world-guides.com/africa/southern-africa/botswana/botswana_museums.html,https://en.wikipedia.org/wiki/List_of_museums_in_Botswana,https://web.archive.org/web/20110826001835/http://www.africom.museum:80/museums/botswana2.html
Burkina Faso,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Burkina_Faso,https://web.archive.org/web/20110826022104/http://www.africom.museum:80/museums/burkina2.html
Burundi,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Burundi,https://web.archive.org/web/20101223085503/http://www.africom.museum/museums/burundi2.html
Cabo Verde,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Cape_Verde,None
Cameroon,Not Found,https://www.lonelyplanet.com/cameroon/attractions/a/poi-sig/355105?subtypes=Museum,https://en.wikipedia.org/wiki/List_of_museums_in_Cameroon,https://web.archive.org/web/20101223092124/http://www.africom.museum/museums/cameroon2.html
Central African Republic (CAR),Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_the_Central_African_Republic,https://web.archive.org/web/20101223084118/http://www.africom.museum/museums/centralafrican2.html
Chad,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Chad,https://web.archive.org/web/20101223085200/http://www.africom.museum/museums/chad2.html
Comoros,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_the_Comoros,https://web.archive.org/web/20101223084040/http://www.africom.museum/museums/comoros2.html
Democratic Republic of the Congo,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_the_Democratic_Republic_of_the_Congo,None
Republic of the Congo,http://www.brazzaville.cg/en/galleries-and-museums,,https://en.wikipedia.org/wiki/List_of_museums_in_the_Republic_of_the_Congo,https://web.archive.org/web/20101223090016/http://www.africom.museum/museums/congobraz2.html
Cote d'Ivoire,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Ivory_Coast,https://web.archive.org/web/20101223090516/http://www.africom.museum/museums/cote2.html
Djibouti,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Djibouti,https://web.archive.org/web/20101223084911/http://www.africom.museum/museums/congo-demo2.html
Egypt,Not Found,"http://www.touregypt.net/museums.htm, https://web.archive.org/web/19961106121612/http://www.idsc.gov.eg:80/culture/sit.htm",https://en.wikipedia.org/wiki/List_of_museums_in_Egypt,https://web.archive.org/web/20101223085236/http://www.africom.museum/museums/egypt2.html
Equatorial Guinea,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Equatorial_Guinea,None
Eritrea,Not Found,,https://en.wikipedia.org/wiki/List_of_museums_in_Eritrea,https://web.archive.org/web/20101223084646/http://www.africom.museum/museums/eritrea2.html
Eswatini (Swaziland),http://www.sntc.org.sz/cultural/museum.php,,None,https://web.archive.org/web/20101223091729/http://www.africom.museum/museums/swaziland2.html
